Qual é o seu sexo?,Masculino.,Feminino.,,,,,,,,,
Você poderia nos dizer a sua faixa etária?,Até 24 anos,De 25 a 29 anos,De 30 a 39 anos,De 40 a 49 anos,De 50 a 54 anos,55 anos ou mais,,,,,
Como você se considera?,Branco (a).,Pardo (a).,Preto (a).,Amarelo (a).,Indígena.,Não quero declarar.,Não sei.,,,,
Qual é o mais alto nível de escolaridade que você concluiu (até a graduação)?,Menos que o Ensino Médio (antigo 2º grau).,Ensino Médio - Magistério (antigo 2º grau).,Ensino  Médio - Outros (antigo 2º grau).,Ensino Superior - Pedagogia.,Ensino Superior - Curso Normal Superior.,Ensino Superior - Licenciatura em Matemática.,Ensino Superior - Licenciatura em Letras.,Ensino Superior – Outras Licenciaturas.,Ensino Superior - Outras áreas.,,
Há quantos anos você obteve o nível de escolaridade assinalado anteriormente (até a graduação)?,Há menos de 2 anos.,De 2 a 7 anos.,De 8 a 14 anos,De 15 a 20 anos.,Há mais de 20 anos.,,,,,,
Indique em que tipo de instituição você obteve seu diploma de ensino superior.,Não concluí o ensino superior.,Privada.,Pública Federal.,Pública Estadual.,Pública Municipal.,,,,,,
De que forma você realizou o curso de ensino superior?,Não concluí o ensino superior.,Presencial.,Semipresencial.,A distância.,,,,,,,
Indique o curso de pós-graduação de mais alta titulação que você possui.,Não fiz ou não completei curso de pós-graduação.,Atualização ou Aperfeiçoamento (mínimo de 180 horas).,Especialização (mínimo de 360 horas).,Mestrado.,Doutorado.,,,,,,
Indique a área temática do curso de pós-graduação de mais alta titulação que você possui.,Não fiz ou não completei curso de pós-graduação.,"Educação, enfatizando alfabetização.","Educação, enfatizando linguística e/ou letramento.","Educação, enfatizando educação matemática.",Educação - outras ênfases.,Outras áreas que não a Educação.,,,,,
"Como professor, qual é, aproximadamente, o seu salário bruto? (com adicionais, se houver).","Até R$ 678,00.","Entre R$ 679,00 e R$ 1.017,00.","Entre R$ 1.018,00 e R$ 1.356,00.","Entre R$ 1.357,00 e R$ 1.695,00.","Entre R$ 1.696,00 e R$ 2.034,00.","Entre R$ 2.035,00 e R$ 2.373,00.","Entre R$ 2.374,00 e R$ 2.712,00.","Entre R$ 2.713,00 e R$ 3.390,00.","Entre R$ 3.391,00 e R$ 4.746,00.","Entre R$ 4.747,00 e R$ 6.780,00.","R$ 6.781,00 ou mais."
"Além da atividade como docente nesta escola, você exerce outra atividade que contribui para sua renda pessoal?","Sim, na área de educação.","Sim, fora da área de educação.",Não.,,,,,,,,
"Considerando todas as atividades que você exerce (dentro e fora da área de educação), qual é, aproximadamente, o seu salário bruto? (com adicionais, se houver).","Até R$ 678,00.","Entre R$ 679,00 e R$ 1.017,00.","Entre R$ 1.018,00 e R$ 1.356,00.","Entre R$ 1.357,00 e R$ 1.695,00.","Entre R$ 1.696,00 e R$ 2.034,00.","Entre R$ 2.035,00 e R$ 2.373,00.","Entre R$ 2.374,00 e R$ 2.712,00.","Entre R$ 2.713,00 e R$ 3.390,00.","Entre R$ 3.391,00 e R$ 4.746,00.","Entre R$ 4.747,00 e R$ 6.780,00.","R$ 6.781,00 ou mais."
Há quantos anos você trabalha como professor?,Meu primeiro ano.,1-2 anos.,3-5 anos.,6-10 anos.,11-15 anos.,16-20 anos.,Mais de 20 anos.,,,,
Há quantos anos você trabalha como professor nesta escola?,Meu primeiro ano.,1-2 anos.,3-5 anos.,6-10 anos.,11-15 anos.,16-20 anos.,Mais de 20 anos.,,,,
Há quantos anos você ministra aulas para alunos da série/turma em que você se encontra neste momento?,Meu primeiro ano.,1-2 anos.,3-5 anos.,6-10 anos.,11-15 anos.,16-20 anos.,Mais de 20 anos.,,,,
Qual é a sua situação trabalhista nesta escola?,Estatutário.,CLT.,Prestador de serviço por contrato temporário.,Prestador de serviço sem contrato.,Outra.,,,,,,
"Nesta escola, qual a sua carga horária semanal? (Considere a carga horária contratual: horas-aula mais horas para atividades, se houver. Não considere aulas particulares)",Mais de 40 horas.,40 horas.,De 20 a 39 horas.,Menos de 20 horas.,,,,,,,
Em quantas escolas você trabalha?,Apenas nesta escola.,Em 2 escolas.,Em 3 escolas.,Em 4 ou mais escolas.,,,,,,,
"Considerando todas as escolas em que você trabalha atualmente como professor, qual a sua carga horária semanal? (Considere a carga horária contratual: horas-aula mais horas para atividades, se houver. Não considere aulas particulares)",Mais de 40 horas.,40 horas.,De 20 a 39 horas.,Menos de 20 horas.,,,,,,,
"Considerando-se todas as escolas em que você trabalha atualmente como professor, quantas horas semanais são dedicadas às atividades extraclasse (formação e estudo, planejamento, produção de recursos didáticos etc.)?",Nenhuma,Menos de 1/3 da carga horária.,1/3 da carga horária.,Mais de 1/3 da carga horária.,,,,,,,
"Durante os últimos dois anos, você participou de qualquer um dos seguintes tipos de atividades de desenvolvimento profissional, e qual foi o impacto dessa atividade em sua prática como professor? Cursos/oficinas sobre metodologias de ensino na sua área de atuação.",Não participei.,"Sim, e não houve impacto.","Sim, e houve um pequeno impacto.","Sim, e houve um impacto moderado.","Sim, e houve um grande impacto.",,,,,,
"Durante os últimos dois anos, você participou de qualquer um dos seguintes tipos de atividades de desenvolvimento profissional, e qual foi o impacto dessa atividade em sua prática como professor? Cursos/oficinas sobre outros tópicos em educação.",Não participei.,"Sim, e não houve impacto.","Sim, e houve um pequeno impacto.","Sim, e houve um impacto moderado.","Sim, e houve um grande impacto.",,,,,,
"Durante os últimos dois anos, você participou de qualquer um dos seguintes tipos de atividades de desenvolvimento profissional, e qual foi o impacto dessa atividade em sua prática como professor? Curso de especialização (mínimo de 360 horas) ou aperfeiçoamento (mínimo de 180 horas) sobre metodologias de ensino na sua área de atuação.",Não participei.,"Sim, e não houve impacto.","Sim, e houve um pequeno impacto.","Sim, e houve um impacto moderado.","Sim, e houve um grande impacto.",,,,,,
"Durante os últimos dois anos, você participou de qualquer um dos seguintes tipos de atividades de desenvolvimento profissional, e qual foi o impacto dessa atividade em sua prática como professor? Curso de especialização (mínimo de 360 horas) ou aperfeiçoamento (mínimo 180 horas) sobre outros tópicos em educação.",Não participei.,"Sim, e não houve impacto.","Sim, e houve um pequeno impacto.","Sim, e houve um impacto moderado.","Sim, e houve um grande impacto.",,,,,,
"Das atividades de desenvolvimento profissional de que você participou nos últimos dois anos, quantas você, pessoalmente, teve que pagar para participar?",Nenhuma,Algumas,Todas,,,,,,,,
"Considerando os temas a seguir, indique por favor sua necessidade de aperfeiçoamento profissional. Parâmetros ou Diretrizes curriculares em sua área de atuação.",Não há necessidade.,Baixo nível de necessidade.,Nível moderado de necessidade.,Alto nível de necessidade.,,,,,,,
"Considerando os temas a seguir, indique por favor sua necessidade de aperfeiçoamento profissional. Conteúdos específicos da minha disciplina principal de atuação.",Não há necessidade.,Baixo nível de necessidade.,Nível moderado de necessidade.,Alto nível de necessidade.,,,,,,,
"Considerando os temas a seguir, indique por favor sua necessidade de aperfeiçoamento profissional. Práticas de Ensino na minha disciplina principal de atuação.",Não há necessidade.,Baixo nível de necessidade.,Nível moderado de necessidade.,Alto nível de necessidade.,,,,,,,
"Considerando os temas a seguir, indique por favor sua necessidade de aperfeiçoamento profissional. Gestão e organização das atividades em sala de aula.",Não há necessidade.,Baixo nível de necessidade.,Nível moderado de necessidade.,Alto nível de necessidade.,,,,,,,
"Considerando os temas a seguir, indique por favor sua necessidade de aperfeiçoamento profissional. Metodologias de avaliação dos alunos.",Não há necessidade.,Baixo nível de necessidade.,Nível moderado de necessidade.,Alto nível de necessidade.,,,,,,,
"Considerando os temas a seguir, indique por favor sua necessidade de aperfeiçoamento profissional. Uso pedagógico das Tecnologias de Informação e Comunicação.",Não há necessidade.,Baixo nível de necessidade.,Nível moderado de necessidade.,Alto nível de necessidade.,,,,,,,
"Considerando os temas a seguir, indique por favor sua necessidade de aperfeiçoamento profissional. Formação específica para trabalhar com estudantes com deficiência ou
necessidades especiais.Considerando os temas a seguir, indique por favor sua necessidade de aperfeiçoamento profissional. Formação específica para trabalhar com estudantes com deficiência ou
necessidades especiais.Considerando os temas a seguir, indique por favor sua necessidade de aperfeiçoamento profissional. Formação específica para trabalhar com estudantes com deficiência ou
necessidades especiais.Considerando os temas a seguir, indique por favor sua necessidade de aperfeiçoamento profissional. Formação específica para trabalhar com estudantes com deficiência ou
necessidades especiais.Considerando os temas a seguir, indique por favor sua necessidade de aperfeiçoamento profissional. Formação específica para trabalhar com estudantes com deficiência ou
necessidades especiais.Considerando os temas a seguir, indique por favor sua necessidade de aperfeiçoamento profissional. Formação específica para trabalhar com estudantes com deficiência ou
necessidades especiais.Considerando os temas a seguir, indique por favor sua necessidade de aperfeiçoamento profissional. Formação específica para trabalhar com estudantes com deficiência ou
necessidades especiais.",Não há necessidade.,Baixo nível de necessidade.,Nível moderado de necessidade.,Alto nível de necessidade.,,,,,,,
"Nos últimos dois anos, você gostaria de ter  participado de mais atividades de desenvolvimento profissional do que você participou?",Não.,Sim.,,,,,,,,,
"Se você gostaria de ter participado de mais atividades de desenvolvimento profissional, os seguintes motivos impediram sua participação? O desenvolvimento profissional era muito caro/eu não podia pagar.",Não gostaria de ter participado.,Não.,Sim.,,,,,,,,
"Se você gostaria de ter participado de mais atividades de desenvolvimento profissional, os seguintes motivos impediram sua participação? Houve conflito com o meu horário de trabalho.",Não gostaria de ter participado.,Não.,Sim.,,,,,,,,
"Se você gostaria de ter participado de mais atividades de desenvolvimento profissional, os seguintes motivos impediram sua participação? Não tinha disponibilidade de tempo.",Não gostaria de ter participado.,Não.,Sim.,,,,,,,,
"Se você gostaria de ter participado de mais atividades de desenvolvimento profissional, os seguintes motivos impediram sua participação? Não houve oferta em minha área de interesse.",Não gostaria de ter participado.,Não.,Sim.,,,,,,,,
"Em seu tempo livre, você costuma: Ler jornais e revistas em geral.",Nunca ou quase nunca.,De vez em quando.,Sempre ou quase sempre.,,,,,,,,
"Em seu tempo livre, você costuma: Ler livros.",Nunca ou quase nunca.,De vez em quando.,Sempre ou quase sempre.,,,,,,,,
"Em seu tempo livre, você costuma: Ler sites na internet.",Nunca ou quase nunca.,De vez em quando.,Sempre ou quase sempre.,,,,,,,,
"Em seu tempo livre, você costuma: Frequentar bibliotecas.",Nunca ou quase nunca.,De vez em quando.,Sempre ou quase sempre.,,,,,,,,
"Em seu tempo livre, você costuma: Ir ao cinema.",Nunca ou quase nunca.,De vez em quando.,Sempre ou quase sempre.,,,,,,,,
"Em seu tempo livre, você costuma: Ir a algum tipo de espetáculo ou exposição (teatro, museu, dança, música).",Nunca ou quase nunca.,De vez em quando.,Sempre ou quase sempre.,,,,,,,,
"Gostaríamos de saber quais os recursos que você utiliza para fins pedagógicos, nesta turma: Jornais e revistas informativas.",Não utilizo porque a escola não tem.,Nunca.,De vez em quando.,Sempre ou quase sempre.,,,,,,,
"Gostaríamos de saber quais os recursos que você utiliza para fins pedagógicos, nesta turma: Livros de literatura em geral.",Não utilizo porque a escola não tem.,Nunca.,De vez em quando.,Sempre ou quase sempre.,,,,,,,
"Gostaríamos de saber quais os recursos que você utiliza para fins pedagógicos, nesta turma: Projetor (datashow, projetor de transparências).",Não utilizo porque a escola não tem.,Nunca.,De vez em quando.,Sempre ou quase sempre.,,,,,,,
"Gostaríamos de saber quais os recursos que você utiliza para fins pedagógicos, nesta turma: Filmes, desenhos animados ou documentários.",Não utilizo porque a escola não tem.,Nunca.,De vez em quando.,Sempre ou quase sempre.,,,,,,,
"Gostaríamos de saber quais os recursos que você utiliza para fins pedagógicos, nesta turma: Máquina copiadora (xerox).",Não utilizo porque a escola não tem.,Nunca.,De vez em quando.,Sempre ou quase sempre.,,,,,,,
"Gostaríamos de saber quais os recursos que você utiliza para fins pedagógicos, nesta turma: Programas/aplicativos pedagógicos de computador.",Não utilizo porque a escola não tem.,Nunca.,De vez em quando.,Sempre ou quase sempre.,,,,,,,
"Gostaríamos de saber quais os recursos que você utiliza para fins pedagógicos, nesta turma: Internet.",Não utilizo porque a escola não tem.,Nunca.,De vez em quando.,Sempre ou quase sempre.,,,,,,,
"Neste ano e nesta escola, como se deu a elaboração do Projeto Pedagógico?",Não sei como foi desenvolvido.,Não existe Projeto Pedagógico.,"Utilizando-se um modelo pronto, sem discussão com a equipe escolar.","Utilizando-se um modelo pronto, mas com discussão com a equipe escolar.","Utilizando-se um modelo pronto, porém com adaptações, sem discussão com a equipe escolar.","Utilizando-se um modelo pronto, porém com adaptações e com discussão com a equipe escolar.","Elaborou-se um modelo próprio, mas não houve discussão com a equipe escolar.",Elaborou-se um modelo próprio e houve discussão com a equipe escolar.,,,
"O Conselho de Classe é um órgão formado por todos os professores que lecionam em cada turma/série. Neste ano e nesta escola, quantas vezes se reuniu o Conselho de Classe?",Não existe Conselho de Classe nesta escola.,Nenhuma vez.,Uma vez.,Duas vezes.,Três vezes ou mais.,,,,,,
"Nesta escola, com que frequência você fezo seguinte: Participou do planejamento do currículo escolar ou parte dele.",Nunca.,Uma vez por ano.,De 3 a 4 vezes ao ano.,Mensalmente.,Semanalmente.,,,,,,
"Nesta escola, com que frequência você fezo seguinte: Trocou materiais didáticos com seus colegas.",Nunca.,Uma vez por ano.,De 3 a 4 vezes ao ano.,Mensalmente.,Semanalmente.,,,,,,
"Nesta escola, com que frequência você fezo seguinte: Participou de reuniões com colegas que trabalham com a mesma série (ano) para a(o) qual leciona.",Nunca.,Uma vez por ano.,De 3 a 4 vezes ao ano.,Mensalmente.,Semanalmente.,,,,,,
"Nesta escola, com que frequência você fezo seguinte: Participou em discussões sobre o desenvolvimento da aprendizagem de determinados alunos.",Nunca.,Uma vez por ano.,De 3 a 4 vezes ao ano.,Mensalmente.,Semanalmente.,,,,,,
"Nesta escola, com que frequência você fezo seguinte: Envolveu-se em atividades conjuntas com diferentes professores (por exemplo, projetos interdisciplinares).",Nunca.,Uma vez por ano.,De 3 a 4 vezes ao ano.,Mensalmente.,Semanalmente.,,,,,,
"Nesta escola e neste ano, indique a frequência com que: O(A) diretor(a) discute metas educacionais com os professores nas reuniões.",Nunca.,Algumas vezes.,Frequentemente.,Sempre ou quase sempre.,,,,,,,
"Nesta escola e neste ano, indique a frequência com que: O(A) diretor(a) e os professores procuram assegurar que as questões de qualidade de ensino sejam uma responsabilidade coletiva.",Nunca.,Algumas vezes.,Frequentemente.,Sempre ou quase sempre.,,,,,,,
"Nesta escola e neste ano, indique a frequência com que: O(A) diretor(a) informa os professores sobre as possibilidades de aperfeiçoamento profissional.",Nunca.,Algumas vezes.,Frequentemente.,Sempre ou quase sempre.,,,,,,,
"Nesta escola e neste ano, indique a frequência com que: O(A) diretor(a) dá atenção especial a aspectos relacionados com a aprendizagem dos alunos.",Nunca.,Algumas vezes.,Frequentemente.,Sempre ou quase sempre.,,,,,,,
"Nesta escola e neste ano, indique a frequência com que: O(A) diretor(a) dá atenção especial a aspectos relacionados com as normas administrativas.",Nunca.,Algumas vezes.,Frequentemente.,Sempre ou quase sempre.,,,,,,,
"Nesta escola e neste ano, indique a frequência com que: O(A) diretor(a) dá atenção especial a aspectos relacionados com a manutenção da escola.",Nunca.,Algumas vezes.,Frequentemente.,Sempre ou quase sempre.,,,,,,,
"Nesta escola e neste ano, indique a frequência com que: O(A) diretor(a) me anima e me motiva para o trabalho.",Nunca.,Algumas vezes.,Frequentemente.,Sempre ou quase sempre.,,,,,,,
"Nesta escola e neste ano, indique a frequência com que: O(A) diretor(a) estimula atividades inovadoras.",Nunca.,Algumas vezes.,Frequentemente.,Sempre ou quase sempre.,,,,,,,
"Nesta escola e neste ano, indique a frequência com que: Sinto-me respeitado pelo(a) diretor(a).",Nunca.,Algumas vezes.,Frequentemente.,Sempre ou quase sempre.,,,,,,,
"Nesta escola e neste ano, indique a frequência com que: Tenho confiança no(a) diretor(a) como profissional.",Nunca.,Algumas vezes.,Frequentemente.,Sempre ou quase sempre.,,,,,,,
"Nesta escola e neste ano, indique a frequência com que: Participo das decisões relacionadas com meu trabalho.",Nunca.,Algumas vezes.,Frequentemente.,Sempre ou quase sempre.,,,,,,,
"Nesta escola e neste ano, indique a frequência com que: A equipe de professores leva em consideração minhas ideias.",Nunca.,Algumas vezes.,Frequentemente.,Sempre ou quase sempre.,,,,,,,
"Na sua percepção, os possíveis problemas de aprendizagem dos alunos das série(s) ou ano(s) avaliado(s) ocorrem, nesta escola, devido à/ao(s): Carência de infraestrutura física.",Sim.,Não.,,,,,,,,,
"Na sua percepção, os possíveis problemas de aprendizagem dos alunos das série(s) ou ano(s) avaliado(s) ocorrem, nesta escola, devido à/ao(s): Carência ou ineficiência da supervisão, coordenação e orientação pedagógica.",Sim.,Não.,,,,,,,,,
"Na sua percepção, os possíveis problemas de aprendizagem dos alunos das série(s) ou ano(s) avaliado(s) ocorrem, nesta escola, devido à/ao(s): Conteúdos curriculares inadequados às necessidades dos alunos.",Sim.,Não.,,,,,,,,,
"Na sua percepção, os possíveis problemas de aprendizagem dos alunos das série(s) ou ano(s) avaliado(s) ocorrem, nesta escola, devido à/ao(s): Não cumprimento dos conteúdos curriculares ao longo da trajetória escolar do aluno.",Sim.,Não.,,,,,,,,,
"Na sua percepção, os possíveis problemas de aprendizagem dos alunos das série(s) ou ano(s) avaliado(s) ocorrem, nesta escola, devido à/ao(s): Sobrecarga de trabalho dos professores, dificultando o planejamento e o preparo das aulas.",Sim.,Não.,,,,,,,,,
"Na sua percepção, os possíveis problemas de aprendizagem dos alunos das série(s) ou ano(s) avaliado(s) ocorrem, nesta escola, devido à/ao(s): Insatisfação e desestímulo do professor com a carreira docente.",Sim.,Não.,,,,,,,,,
"Na sua percepção, os possíveis problemas de aprendizagem dos alunos das série(s) ou ano(s) avaliado(s) ocorrem, nesta escola, devido à/ao(s): Meio social em que o aluno vive.",Sim.,Não.,,,,,,,,,
"Na sua percepção, os possíveis problemas de aprendizagem dos alunos das série(s) ou ano(s) avaliado(s) ocorrem, nesta escola, devido à/ao(s): Nível cultural dos pais dos alunos.",Sim.,Não.,,,,,,,,,
"Na sua percepção, os possíveis problemas de aprendizagem dos alunos das série(s) ou ano(s) avaliado(s) ocorrem, nesta escola, devido à/ao(s): Falta de assistência e acompanhamento dos pais na vida escolar do aluno.",Sim.,Não.,,,,,,,,,
"Na sua percepção, os possíveis problemas de aprendizagem dos alunos das série(s) ou ano(s) avaliado(s) ocorrem, nesta escola, devido à/ao(s): Baixa autoestima dos alunos.",Sim.,Não.,,,,,,,,,
"Na sua percepção, os possíveis problemas de aprendizagem dos alunos das série(s) ou ano(s) avaliado(s) ocorrem, nesta escola, devido à/ao(s): Desinteresse e falta de esforço do aluno.",Sim.,Não.,,,,,,,,,
"Na sua percepção, os possíveis problemas de aprendizagem dos alunos das série(s) ou ano(s) avaliado(s) ocorrem, nesta escola, devido à/ao(s): Indisciplina dos alunos em sala de aula.",Sim.,Não.,,,,,,,,,
"Na sua percepção, os possíveis problemas de aprendizagem dos alunos das série(s) ou ano(s) avaliado(s) ocorrem, nesta escola, devido à/ao(s): Alto índice de faltas por parte dos alunos.",Sim.,Não.,,,,,,,,,
"Sobre os fatos listados abaixo, diga se eles aconteceram ou não neste ano, nesta escola: Agressão verbal ou física de alunos a professores ou a funcionários da escola.",Sim.,Não.,,,,,,,,,
"Sobre os fatos listados abaixo, diga se eles aconteceram ou não neste ano, nesta escola: Agressão verbal ou física de alunos a outros alunos da escola.",Sim.,Não.,,,,,,,,,
"Sobre os fatos listados abaixo, diga se eles aconteceram ou não neste ano, nesta escola: Você foi vítima de atentado à vida.",Sim.,Não.,,,,,,,,,
"Sobre os fatos listados abaixo, diga se eles aconteceram ou não neste ano, nesta escola: Você foi ameaçado por algum aluno.",Sim.,Não.,,,,,,,,,
"Sobre os fatos listados abaixo, diga se eles aconteceram ou não neste ano, nesta escola: Você foi vítima de furto (sem uso de violência).",Sim.,Não.,,,,,,,,,
"Sobre os fatos listados abaixo, diga se eles aconteceram ou não neste ano, nesta escola: Você foi vítima de roubo (com uso de violência).",Sim.,Não.,,,,,,,,,
"Sobre os fatos listados abaixo, diga se eles aconteceram ou não neste ano, nesta escola: Alunos frequentaram as suas aulas sob efeito de bebida alcoólica.",Sim.,Não.,,,,,,,,,
"Sobre os fatos listados abaixo, diga se eles aconteceram ou não neste ano, nesta escola: Alunos frequentaram as suas aulas sob efeito de drogas ilícitas.",Sim.,Não.,,,,,,,,,
"Sobre os fatos listados abaixo, diga se eles aconteceram ou não neste ano, nesta escola: Alunos frequentaram as suas aulas portando arma branca (facas, canivetes etc.).",Sim.,Não.,,,,,,,,,
"Sobre os fatos listados abaixo, diga se eles aconteceram ou não neste ano, nesta escola: Alunos frequentaram as suas aulas portando arma de fogo.",Sim.,Não.,,,,,,,,,
"(SOMENTE PARA PROFESSORES DA 4.ª série/5.º ano) Na sua opinião, quantos dos alunos desta turma você acha que concluirão a 4.ª série/5.º ano neste ano?",Poucos alunos.,Um pouco menos da metade dos alunos.,Um pouco mais da metade dos alunos.,Quase todos os alunos.,,,,,,,
"(SOMENTE PARA PROFESSORES DA 4.ª série/5.º ano e 8.ª série/9.º ano) Na sua opinião, quantos dos alunos desta turma você acha que concluirão o ensino fundamental?",Poucos alunos.,Um pouco menos da metade dos alunos.,Um pouco mais da metade dos alunos.,Quase todos os alunos.,,,,,,,
(PARA TODOS OS PROFESSORES) Quantos dos alunos desta turma você acha que concluirão o ensino médio?,Poucos alunos.,Um pouco menos da metade dos alunos.,Um pouco mais da metade dos alunos.,Quase todos os alunos.,,,,,,,
(PARA TODOS OS PROFESSORES) Quantos dos alunos desta turma você acha que entrarão na universidade?,Poucos alunos.,Um pouco menos da metade dos alunos.,Um pouco mais da metade dos alunos.,Quase todos os alunos.,,,,,,,
"Para a disciplina que você ministra neste ano, você participou da escolha dos livros didáticos para utilização nesta turma?",Sim.,Não.,,,,,,,,,
O livro didático escolhido foi o recebido?,Sim.,Não.,Não sei.,,,,,,,,
Os alunos desta turma têm livros didáticos?,"Não, esta turma não recebeu o livro didático.","Sim, menos da metade da turma tem.","Sim, metade da turma tem.","Sim, a maioria tem.","Sim, todos têm.",,,,,,
Os alunos desta turma receberam o livro didático no início do ano letivo?,Sim.,Não.,Não sei.,,,,,,,,
"Como você avalia a qualidade dos livros didáticos que você utiliza nesta turma, neste ano?",Não utilizo livros didáticos.,Ruim.,Razoável.,Boa.,Ótima.,,,,,,
"Para esta turma, qual o percentual do tempo de aula que você usualmente gastou realizando cada uma das seguintes atividades: Realizando tarefas administrativas (ex.: fazendo  a chamada, preenchendo formulários etc.)",Menos de 10%.,De 10% a menos de 20%.,De 20% a menos de 40%.,De 40% a menos de 60%.,De 60% a menos de 80%.,80% ou mais.,,,,,
"Para esta turma, qual o percentual do tempo de aula que você usualmente gastou realizando cada uma das seguintes atividades: Mantendo a ordem/disciplina na sala de aula.",Menos de 10%.,De 10% a menos de 20%.,De 20% a menos de 40%.,De 40% a menos de 60%.,De 60% a menos de 80%.,80% ou mais.,,,,,
"Para esta turma, qual o percentual do tempo de aula que você usualmente gastou realizando cada uma das seguintes atividades: Realizando atividades de ensino e aprendizagem.",Menos de 10%.,De 10% a menos de 20%.,De 20% a menos de 40%.,De 40% a menos de 60%.,De 60% a menos de 80%.,80% ou mais.,,,,,
"Nesta turma, qual disciplina você leciona?",Língua Portuguesa.,Matemática.,Mais de uma disciplina.,,,,,,,,
Quanto do conteúdo previsto você conseguiu desenvolver com os alunos desta turma neste ano?,Menos de 20%.,De 20% a menos de 40%.,De 40% a menos de 60%.,De 60% a menos de 80%.,80% ou mais.,,,,,,
Indique a frequência com que você desenvolve as seguintes práticas pedagógicas nesta turma: Propor dever de casa.,Nunca.,Uma vez por ano.,De 3 a 4 vezes ao ano.,Mensalmente.,Semanalmente.,Diariamente.,,,,,
Indique a frequência com que você desenvolve as seguintes práticas pedagógicas nesta turma: Corrigir com os alunos o dever de casa.,Nunca.,Uma vez por ano.,De 3 a 4 vezes ao ano.,Mensalmente.,Semanalmente.,Diariamente.,,,,,
"Indique a frequência com que você desenvolve as seguintes práticas pedagógicas nesta turma: Desenvolver atividades em grupo, em sala de aula, para que os alunos busquem soluções de problemas.",Nunca.,Uma vez por ano.,De 3 a 4 vezes ao ano.,Mensalmente.,Semanalmente.,Diariamente.,,,,,
Indique a frequência com que você desenvolve as seguintes práticas pedagógicas nesta turma: Desenvolver projetos temáticos com o objetivo de aprimorar as habilidades de trabalho em equipe.,Nunca.,Uma vez por ano.,De 3 a 4 vezes ao ano.,Mensalmente.,Semanalmente.,Diariamente.,,,,,
Indique a frequência com que você desenvolve as seguintes práticas pedagógicas nesta turma: Solicitar que os alunos copiem textos e atividades do livro didático ou do quadro negro (lousa).,Nunca.,Uma vez por ano.,De 3 a 4 vezes ao ano.,Mensalmente.,Semanalmente.,Diariamente.,,,,,
Indique a frequência com que você desenvolve as seguintes práticas pedagógicas nesta turma: Estimular os alunos a expressarem suas opiniões e a desenvolverem argumentos a partir de temas diversos.,Nunca.,Uma vez por ano.,De 3 a 4 vezes ao ano.,Mensalmente.,Semanalmente.,Diariamente.,,,,,
Indique a frequência com que você desenvolve as seguintes práticas pedagógicas nesta turma: Propor situações de aprendizagem que sejam familiares ou de interesse dos alunos.,Nunca.,Uma vez por ano.,De 3 a 4 vezes ao ano.,Mensalmente.,Semanalmente.,Diariamente.,,,,,
